DATE,PCE
1959-01-01,309.9
1959-04-01,315.9
1959-07-01,321.1
1959-10-01,323.2
1960-01-01,326.7
1960-04-01,332.6
1960-07-01,332.5
1960-10-01,334.4
1961-01-01,335.0
1961-04-01,339.9
1961-07-01,342.9
1961-10-01,350.1
1962-01-01,355.4
1962-04-01,361.0
1962-07-01,364.9
1962-10-01,371.1
1963-01-01,374.7
1963-04-01,378.8
1963-07-01,385.8
1963-10-01,390.5
1964-01-01,400.1
1964-04-01,408.1
1964-07-01,417.0
1964-10-01,419.6
1965-01-01,430.3
1965-04-01,437.2
1965-07-01,446.4
1965-10-01,460.4
1966-01-01,470.8
1966-04-01,475.9
1966-07-01,485.0
1966-10-01,490.8
1967-01-01,495.1
1967-04-01,504.2
1967-07-01,511.4
1967-10-01,518.9
1968-01-01,536.9
1968-04-01,550.6
1968-07-01,566.7
1968-10-01,575.6
1969-01-01,587.8
1969-04-01,599.2
1969-07-01,609.5
1969-10-01,621.5
1970-01-01,632.6
1970-04-01,642.5
1970-07-01,654.5
1970-10-01,661.2
1971-01-01,680.2
1971-04-01,694.3
1971-07-01,706.7
1971-10-01,722.9
1972-01-01,740.1
1972-04-01,758.6
1972-07-01,777.1
1972-10-01,801.9
1973-01-01,826.4
1973-04-01,842.0
1973-07-01,860.5
1973-10-01,875.6
1974-01-01,893.8
1974-04-01,922.3
1974-07-01,951.1
1974-10-01,960.9
1975-01-01,987.1
1975-04-01,1015.8
1975-07-01,1049.6
1975-10-01,1078.5
1976-01-01,1112.3
1976-04-01,1131.9
1976-07-01,1161.3
1976-10-01,1195.1
1977-01-01,1230.6
1977-04-01,1258.5
1977-07-01,1289.7
1977-10-01,1327.9
1978-01-01,1357.8
1978-04-01,1415.3
1978-07-01,1446.2
1978-10-01,1485.4
1979-01-01,1521.0
1979-04-01,1561.5
1979-07-01,1616.0
1979-10-01,1659.5
1980-01-01,1706.5
1980-04-01,1708.9
1980-07-01,1767.7
1980-10-01,1835.4
1981-01-01,1890.7
1981-04-01,1921.9
1981-07-01,1961.2
1981-10-01,1976.2
1982-01-01,2014.4
1982-04-01,2041.1
1982-07-01,2089.2
1982-10-01,2150.9
1983-01-01,2190.6
1983-04-01,2254.5
1983-07-01,2324.3
1983-10-01,2376.7
1984-01-01,2422.8
1984-04-01,2481.2
1984-07-01,2519.7
1984-10-01,2568.9
1985-01-01,2643.9
1985-04-01,2691.2
1985-07-01,2764.7
1985-10-01,2790.9
1986-01-01,2834.7
1986-04-01,2863.0
1986-07-01,2929.7
1986-10-01,2966.1
1987-01-01,2998.3
1987-04-01,3068.8
1987-07-01,3133.5
1987-10-01,3167.6
1988-01-01,3249.0
1988-04-01,3309.0
1988-07-01,3378.3
1988-10-01,3451.2
1989-01-01,3506.1
1989-04-01,3569.5
1989-07-01,3625.5
1989-10-01,3670.1
1990-01-01,3754.5
1990-04-01,3800.2
1990-07-01,3863.4
1990-10-01,3884.4
1991-01-01,3890.2
1991-04-01,3943.7
1991-07-01,3989.7
1991-10-01,4017.1
1992-01-01,4117.7
1992-04-01,4173.4
1992-07-01,4245.4
1992-10-01,4326.2
1993-01-01,4368.5
1993-04-01,4437.5
1993-07-01,4506.0
1993-10-01,4572.0
1994-01-01,4640.8
1994-04-01,4702.9
1994-07-01,4773.1
1994-10-01,4847.2
1995-01-01,4883.4
1995-04-01,4955.0
1995-07-01,5020.5
1995-10-01,5077.9
1996-01-01,5153.8
1996-04-01,5244.2
1996-07-01,5298.3
1996-10-01,5376.1
1997-01-01,5456.7
1997-04-01,5495.1
1997-07-01,5603.5
1997-10-01,5687.6
1998-01-01,5745.9
1998-04-01,5857.8
1998-07-01,5952.8
1998-10-01,6055.6
1999-01-01,6129.0
1999-04-01,6253.0
1999-07-01,6357.2
1999-10-01,6488.9
2000-01-01,6642.7
2000-04-01,6737.3
2000-07-01,6845.2
2000-10-01,6944.4
2001-01-01,7020.4
2001-04-01,7072.1
2001-07-01,7103.4
2001-10-01,7216.6
2002-01-01,7251.4
2002-04-01,7344.5
2002-07-01,7433.1
2002-10-01,7507.2
2003-01-01,7593.5
2003-04-01,7684.6
2003-07-01,7845.6
2003-10-01,7938.4
2004-01-01,8076.8
2004-04-01,8186.4
2004-07-01,8312.7
2004-10-01,8464.3
2005-01-01,8573.1
2005-04-01,8723.9
2005-07-01,8888.0
2005-10-01,8991.4
2006-01-01,9134.3
2006-04-01,9253.7
2006-07-01,9374.3
2006-10-01,9453.7
2007-01-01,9591.8
2007-04-01,9700.9
2007-07-01,9799.2
2007-10-01,9910.0
2008-01-01,9974.4
2008-04-01,10095.8
2008-07-01,10124.9
2008-10-01,9859.6
2009-01-01,9770.2
2009-04-01,9769.7
2009-07-01,9890.8
2009-10-01,9957.1
2010-01-01,10044.5
2010-04-01,10137.7
2010-07-01,10233.4
2010-10-01,10393.2
2011-01-01,10523.5
2011-04-01,10651.4
2011-07-01,10754.4
2011-10-01,10827.9
2012-01-01,10956.2
2012-04-01,11008.4
2012-07-01,11073.6
2012-10-01,11164.3
2013-01-01,11256.7
2013-04-01,11284.5
2013-07-01,11379.1
2013-10-01,11524.4
2014-01-01,11636.1
2014-04-01,11800.5
2014-07-01,11941.0
2014-10-01,12075.9
2015-01-01,12098.9
2015-04-01,12240.2
2015-07-01,12356.9
2015-10-01,12438.8
2016-01-01,12498.0
2016-04-01,12692.7
2016-07-01,12832.1
2016-10-01,13008.9
